BOAMP_AVIS_NUM,D_15_01_Conditionadministrative_Referencemarche,D_15_02_Conditionadministrative_Etudesconcours,D_15_03_Conditionadministrative_Recompenseslaureatoui,D_15_04_Conditionadministrative_Recompensesaureatnon,D_15_05_Conditionadministrative_Recompenseslaureat,D_15_06_Conditionadministrative_Indemnisationparticipants,D_15_07_Conditionadministrative_Conditionsremiseoffres,D_15_08_Conditionadministrative_Conditionsetmodepaiementobtenirdocuments,D_15_09_Conditionadministrative_Datelimiteobtentiondocuments,D_15_10_Conditionadministrative_Documentpayantoui,D_15_10_01_Conditionadministrative_Documentpayantoui_Valeur,D_15_10_01_01_Conditionadministrative_Documentpayantoui_Valeur_Value,D_15_10_01_02_Conditionadministrative_Documentpayantoui_Valeur_Devise,D_15_11_Conditionadministrative_Documentpayantnon,D_15_12_Conditionadministrative_Persouvertureoffresoui,D_15_13_Conditionadministrative_Persouvertureoffresnon,D_15_14_Conditionadministrative_Datedebutattribution,D_15_15_Conditionadministrative_Dateouvertureoffres,D_15_16_Conditionadministrative_Lieuouvertureoffres,D_15_17_Conditionadministrative_Abandonsadoui,D_15_18_Conditionadministrative_Abandonsadnon,D_15_19_Conditionadministrative_Finattributionoui,D_15_20_Conditionadministrative_Finattributionnon,D_15_21_Conditionadministrative_Envoielectroniqueavecoutiloui,D_15_22_Conditionadministrative_Envoielectroniqueavecoutilnon
15-39469,1500108,,False,False,,,Appel d'offres pour le marché de travaux pour la restructuration du bâtiment atelier du Lycée Pierre Mendès France (95) - lot no......,,,CF_NIV_SUIV,CF_NIV_SUIV,,,False,,False,,,,,False,False,False,False,False
18-182030,,,False,False,,,,,,CF_NIV_SUIV,CF_NIV_SUIV,,,False,,False,,2019-02-14 00:00:00,Direction des Ressources Physiques - Direction des Achats - Service des marchés,,False,False,False,True,False
15-39471,,,False,False,,,"Soit envoi sous pli recommandé avec arSoit remis contre récépissé de dépôtSur l'enveloppe extérieure devra figurer la mention 'ne pas ouvrir - procédure simplifiée - etude de déplacements et stationnement dans le cadre d'études préalables et urbaine sur les quartiers de la butte rouge, des peintres et vaux germains à châtenay-malabry (92290).'Soit remis par voie dématérialisée, à l'adresse suivante : http://hautsdeseine-habitat.e-marchespublics.comIl est fortement conseillé aux candidats voulant déposer une candidature sur la plateforme de l'office de faire parvenir au pouvoir adjudicateur : une copie de sauvegarde sur support physique électronique (cd rom, dvd rom, clé usb...) ou bien sur support papier.Cette copie est transmise, avant les date et heure de réception des plis indiquées, sous pli recommandé avec accusé réception ou par dépôt contre récépissé et comporte obligatoirement la mention 'ne pas ouvrir - copie de sauvegarde'.",,,CF_NIV_SUIV,CF_NIV_SUIV,,,False,,False,,,,,False,False,False,False,False
15-39472,ASTI2015mapaPlaquesPVC,,False,False,,,,,,CF_NIV_SUIV,CF_NIV_SUIV,,,False,,False,,,,,False,False,False,False,False
15-39473,2015R2070005,,False,False,,,Mairie de Montreuil,,,CF_NIV_SUIV,CF_NIV_SUIV,,,False,,False,,,,,False,False,False,False,False
15-39475,2015-05,,False,False,,,,,,CF_NIV_SUIV,CF_NIV_SUIV,,,False,,False,,,,,False,False,False,False,False
15-39478,,,False,False,,,"Soit envoi sous pli recommandé avec arSoit remis contre récépissé de dépôtSur l'enveloppe extérieure devra figurer la mention 'ne pas ouvrir - procédure simplifiée - étude de programmation commerces, services et équipements dans le cadre d'études préalables et urbaine sur les quartiers de la butte rouge, des peintres et vaux germains à châtenay-malabry (92290).'Soit remis par voie dématérialisée, à l'adresse suivante : http://hautsdeseine-habitat.e-marchespublics.comIl est fortement conseillé aux candidats voulant déposer une candidature sur la plateforme de l'office de faire parvenir au pouvoir adjudicateur : une copie de sauvegarde sur support physique électronique (cd rom, dvd rom, clé usb...) ou bien sur support papier.Cette copie est transmise, avant les date et heure de réception des plis indiquées, sous pli recommandé avec accusé réception ou par dépôt contre récépissé et comporte obligatoirement la mention 'ne pas ouvrir - copie de sauvegarde'.",,,CF_NIV_SUIV,CF_NIV_SUIV,,,False,,False,,,,,False,False,False,False,False
15-39480,15B15016,,False,False,,,,,,CF_NIV_SUIV,CF_NIV_SUIV,,,False,,False,,,,,False,False,False,False,False
15-39483,0273RH,,False,False,,,,,,CF_NIV_SUIV,CF_NIV_SUIV,,,False,,False,,,,,False,False,False,False,False
15-39484,M51000,,False,False,,,,,,CF_NIV_SUIV,CF_NIV_SUIV,,,False,,False,,,,,False,False,False,False,False
15-39485,15001MG0X000,,False,False,,,,,,CF_NIV_SUIV,CF_NIV_SUIV,,,False,,False,,,,,False,False,False,False,False
15-39486,,,False,False,,,Les offres seront transmises par voie électronique à l'adresse suivante : http://www.e-marchespublics.com (ou http://atlanticeau.e-marchespublics.com puis rubrique 'accès membre' et 'entreprise').,Le dossier de consultation est accessible gratuitement sur le site http://www.e-marchespublics.com (ou http://atlanticeau.e-marchespublics.com puis rubrique 'accès membre' et 'entreprise'). Toute modification du dossier de consultation fait l'objet d'un envoi de message électronique à l'adresse e-mail qui a été indiquée lors du téléchargement du dossier. Il est donc nécessaire de vérifier très régulièrement les messages reçus sur cette adresse.La responsabilité de l'acheteur public ne saurait être recherchée si le candidat a communiqué une adresse erronée ou s'il n'a pas consulté ses messages en temps et en heure.,,CF_NIV_SUIV,CF_NIV_SUIV,,,False,,False,,,,,False,False,False,False,False
15-39487,BATCOM215,,False,False,,,,,,CF_NIV_SUIV,CF_NIV_SUIV,,,False,,False,,,,,False,False,False,False,False
15-39488,14BOA014,,False,False,,,,,,CF_NIV_SUIV,CF_NIV_SUIV,,,False,,False,,,,,False,False,False,False,False
15-39490,CAVF2015-01-011,,False,False,,,,,,CF_NIV_SUIV,CF_NIV_SUIV,,,False,,False,,,,,False,False,False,False,False
15-39491,DTP20151,,False,False,,,"Les offres devront être entièrement rédigées en langue française.Les offres devront être présentées sous pli cacheté, libellé de la façon suivante :Identite du candidatMarché à procédure adaptée "" remise en état et fiabilisation des réseaux haute tension du site lommelet""Ne pas ouvrir par le service courrierL'offre peut être déposée à l'adresse suivante :Etablissement public de sante mentale de l'agglomeration lilloiseDirection des travaux et du patrimoineCellule marchésBâtiment administratif 1 - 2ème étage1, rue de lommeletSaint andre lez lilleOu envoyée par courrier recommandé avec accusé de réception postal à l'adresse suivante :Etablissement public de sante mentale de l'agglomération lilloiseDirection des travaux & du patrimoineCellule marchésB.p. N°459871 saint-andre cedexOu transmise par voie électronique à l'adresse http://www.e-marchespublics.com",,,CF_NIV_SUIV,CF_NIV_SUIV,,,False,,False,,,,,False,False,False,False,False
15-39492,15STAM01,,False,False,,,,,,CF_NIV_SUIV,CF_NIV_SUIV,,,True,,False,,,,,False,False,False,False,False
15-39494,15FMA01,,False,False,,,,,,CF_NIV_SUIV,CF_NIV_SUIV,,,True,,False,,,,,False,False,False,False,False
15-39495,DSE005,,False,False,,,,,,CF_NIV_SUIV,CF_NIV_SUIV,,,False,,False,,,,,False,False,False,False,False
15-39496,Fournitures,,False,False,,,,,,CF_NIV_SUIV,CF_NIV_SUIV,,,False,,False,,,,,False,False,False,False,False
15-39498,01715AO,,False,False,,,,,,CF_NIV_SUIV,CF_NIV_SUIV,,,True,,False,,,,,False,False,False,False,False
15-39501,14S0933,,False,False,,,"En recommandé avec accusé de réception, remise en mains propres contre récépissé ou, le cas échéant, par voie électronique",,,CF_NIV_SUIV,CF_NIV_SUIV,,,False,,False,,,,,False,False,False,False,False
15-39503,EPAF EA201502,,False,False,,,,,,CF_NIV_SUIV,CF_NIV_SUIV,,,False,,False,,,,,False,False,False,False,False
15-39505,15SRT003,,False,False,,,,,,CF_NIV_SUIV,CF_NIV_SUIV,,,False,,False,,,,,False,False,False,False,False
15-39507,PLONG15002-CANDIDATURE,,False,False,,,,,,CF_NIV_SUIV,CF_NIV_SUIV,,,False,,False,,,,,False,False,False,False,False
15-39508,2015S010,,False,False,,,,,,CF_NIV_SUIV,CF_NIV_SUIV,,,True,,True,,,,,False,False,False,False,False
15-39511,15CASINO,,False,False,,,"Aucune candidature et aucune offre ne pourront être transmises par voie électronique ou par télécopie. Les candidatures et les offres seront présentées sous un même pli cacheté (ou tout autre conditionnement adapté et scellé).Ce pli extérieur sera anonyme et portera exclusivement la mention suivante :"" Délégation de service public pour l'exploitation du casino de Saint Pair Sur Mer Enveloppe extérieure- NE PAS OUVRIR - ""L'enveloppe ou l'emballage devra comporter deux enveloppes intérieures cachetées.-La première enveloppe intérieure portera le nom et l'adresse du candidat et la mention "" 1ère Enveloppe intérieure - Candidature - délégation de service public du casino de Saint Pair Sur Mer- Ne pas ouvrir "" et contiendra les éléments relatifs à la candidature (cf. article 4.1 du RC).Cette enveloppe ou emballage intérieur sera également cacheté.-La seconde enveloppe portera le nom et l'adresse du candidat et la mention "" 2ème Enveloppe intérieure - Offre - délégation de service public du casino de Saint Pair Sur Mer- Ne pas ouvrir "" et contiendra les éléments relatifs à l'offre (cf. article 4.2) du RC. Cette enveloppe ou emballage intérieur sera également cacheté. Les plis devront : Etre déposés contre récépissé à l'adresse suivante : Mairie de Saint Pair Sur MerDu lundi au vendredi : 8h30-12h00 et 13h30-17h30 Samedi : 9h30-12h00 Ou être adressés en recommandé avec accusé de réception et parvenir à destination à la même adresse.Toutes candidatures et offres déposées ou reçues postérieurement aux date et heure limites seront automatiquement rejetées.",,,CF_NIV_SUIV,CF_NIV_SUIV,,,False,,False,,,,,False,False,False,False,False
15-39513,15C0001,,False,False,,,,,,CF_NIV_SUIV,CF_NIV_SUIV,,,False,,False,,,,,False,False,False,False,False
15-39514,CG22-15S0032,,False,False,,,,,2015-04-23 22:00:00,CF_NIV_SUIV,CF_NIV_SUIV,,,True,,False,,,,,False,False,False,False,False
15-39515,2015020,,False,False,,,,,,CF_NIV_SUIV,CF_NIV_SUIV,,,False,,False,,,,,False,False,False,False,False
15-39516,15SC0100,,False,False,,,,,,CF_NIV_SUIV,CF_NIV_SUIV,,,True,,False,,,,,False,False,False,False,False
15-39517,ECLAIR_TUNNEL,,False,False,,,,,,CF_NIV_SUIV,CF_NIV_SUIV,,,False,,False,,,,,False,False,False,False,False
15-39519,15MPA015,,False,False,,,,,,CF_NIV_SUIV,CF_NIV_SUIV,,,False,,False,,,,,False,False,False,False,False
15-39526,1510PAAA,,False,False,,,,,,CF_NIV_SUIV,CF_NIV_SUIV,,,False,,False,,,,,False,False,False,False,False
15-39528,15AF-0077-J,,False,False,,,,,2015-04-01 22:00:00,CF_NIV_SUIV,CF_NIV_SUIV,,,False,,False,,,,,False,False,False,False,False
15-39529,DAL/DAH 2015/06,,False,False,,,,,,CF_NIV_SUIV,CF_NIV_SUIV,,,False,,False,,,,,False,False,False,False,False
15-61898,UDS/Interprétariat CEIFAC,,False,False,,,,,,CF_NIV_SUIV,CF_NIV_SUIV,,,False,,False,,,,,False,False,False,False,False
15-39533,THERMO_MPC_IS2M,,False,False,,,,"Le dossier de consultation des entreprises est remis gratuitement à chaque candidat qui en fait la demande par lettre ou courriel auprès de :Université de Haute-AlsaceService achats et marchés publics2 rue des Frères Lumière68093 Mulhouse cedexTél : 03.89.33.63.78Courriel : marches@uha.frLe dossier de consultation peut également être téléchargé sur le site : https://www.marches-publics.gouv.frConformément à l'arrêté du 14 décembre 2009 relatif à la dématérialisation des procédures de passation des marchés publics, les documents de la consultation sont dorénavant librement accessibles sur le profil d'acheteur, et ce sans identification obligatoire des opérateurs économiques.Néanmoins, il vous est fortement conseillé de procéder à votre identification car celle-ci vous permet d'être tenus informés automatiquement des modifications et des précisions éventuellement apportées au dossier de consultation. Dans le cas contraire, il vous appartiendra de récupérer par vos propres moyens les informations communiquées.Conditions de remise des offres ou des candidatures :les offres pourront être acheminées dans les conditions suivantes :- offres présentées sur un support papier et adressées par lettre recommandée avec demande d'avisde réception postal ;- offres présentées sur un support papier et remises sous pli cacheté au service destinataire contrerécépissé.- offres présentées par voie dématérialisée (uniquement sur la plateforme : www.marchespublics.gouv.fr)",,CF_NIV_SUIV,CF_NIV_SUIV,,,False,,False,,,,,False,False,False,False,False
15-39538,2015/12,,False,False,,,,,,CF_NIV_SUIV,CF_NIV_SUIV,,,False,,False,,,,,False,False,False,False,False
15-39541,P15/02,,False,False,,,"Les candidats transmettent leur offre sous format papier sous pli unique cacheté adressé par courrier recommandé avec accusé de réception ou remis contre récépissé du lundi au vendredi, sauf jours fériés, de 9h00 à 12h00 et de 14h00 à 17h00, sauf le dernier jour de dépôt des offres où l'heure limite est fixée à 12h 00 à la mairie",Les candidats pourront télécharger gratuitement le dossier à partir de l'adresse Internet du pouvoir adjudicateur (URL) : http://www.ville-forcalquier.fr,,CF_NIV_SUIV,CF_NIV_SUIV,,,False,,False,,,,,False,False,False,False,False
15-39542,5C00080550,,False,False,,,,,,CF_NIV_SUIV,CF_NIV_SUIV,,,False,,False,,,,,False,False,False,False,False
15-39543,03SMICTOM2015AZ,,False,False,,,,,,CF_NIV_SUIV,CF_NIV_SUIV,,,False,CAO du SMICTOM des Flandres,False,,,,,False,False,False,False,False
15-39545,15-0151,,False,False,,,,"Conditions pour obtenir le dossier de consultation des entreprises : sur demande écrite (courrier ou télécopie) ou par téléchargement sur la plate forme de dématérialisation aux coordonnées mentionnées en entête du présent avis. Si les candidats souhaitent être informés des modifications qui pourraient être apportées au DCE, il leur est conseillé de fournir une adresse mail valide et usuelle lors du téléchargement ou de s'inscrire sur le site.",,CF_NIV_SUIV,CF_NIV_SUIV,,,False,,False,,,,,False,False,False,False,False
