BOAMP_AVIS_NUM,D_03_01_Typepouvoiradjudicateur_Minautoritenationale,D_03_02_Typepouvoiradjudicateur_Agencenational,D_03_03_Typepouvoiradjudicateur_Autotriteregional,D_03_04_Typepouvoiradjudicateur_Agenceregional,D_03_05_Typepouvoiradjudicateur_Orgdroitpublic,D_03_06_Typepouvoiradjudicateur_Institutioneuropeenne,D_03_07_Typepouvoiradjudicateur_Autre
10-238716,False,False,False,False,False,False,
10-87192,False,False,False,False,False,False,
12-160683,False,False,True,False,False,False,
14-106711,False,False,True,False,False,False,
14-132339,False,False,True,False,False,False,
14-133510,False,False,False,False,True,False,
14-140452,False,False,False,False,True,False,
14-150261,False,False,False,False,False,False,
14-159982,False,False,True,False,False,False,
14-160064,False,False,True,False,False,False,
14-174256,False,False,False,False,False,False,Etablissement public territorial - Etablissement Public de Coopération Intercommunale.
14-175359,False,False,False,False,True,False,
14-184026,False,False,True,False,False,False,
14-186582,False,False,False,False,True,False,
14-47686,False,False,False,False,True,False,
14-75498,False,False,False,False,True,False,
14-89302,False,False,True,False,False,False,
15-11413,False,False,False,False,True,False,
15-13068,False,False,True,False,False,False,
15-13207,False,False,False,False,False,False,collectivité territoriale
15-1354,True,False,False,False,False,False,
15-18447,False,False,True,False,False,False,
15-18486,True,False,False,False,False,False,
15-19435,False,False,True,False,False,False,
15-20196,False,False,False,False,True,False,
15-20986,False,False,True,False,False,False,
15-21639,False,False,True,False,False,False,
15-22035,False,False,False,False,False,False,Etablissement public de santé
15-22223,False,False,True,False,False,False,
15-22336,True,False,False,False,False,False,
15-22450,False,False,True,False,False,False,
15-22887,False,False,False,False,False,False,
15-23440,False,False,True,False,False,False,
15-23457,False,False,True,False,False,False,
15-23641,True,False,False,False,False,False,
15-23969,False,False,True,False,False,False,
15-24083,False,False,False,False,False,False,
15-25123,False,False,True,False,False,False,
15-25641,False,False,True,False,False,False,
15-25943,False,False,True,False,False,False,
15-26727,False,False,False,False,True,False,
15-27156,False,False,False,False,False,False,
15-2766,False,False,False,False,False,False,centre hospitalier
15-27858,False,False,True,False,False,False,
15-28197,False,False,True,False,False,False,
15-2866,True,False,False,False,False,False,
15-46507,False,False,False,False,True,False,
15-29987,False,False,False,False,False,False,
15-3000,False,False,False,False,False,False,Caisse de Retraite
15-30098,False,False,True,False,False,False,
15-30186,False,False,False,False,True,False,
15-30314,False,False,True,False,False,False,
15-30418,False,False,True,False,False,False,
15-30712,False,False,True,False,False,False,
15-30894,False,False,False,False,False,False,Collectivité territoriale
15-31021,False,False,False,False,True,False,
15-31034,False,False,True,False,False,False,
15-31345,False,False,False,False,True,False,
15-31392,False,False,True,False,False,False,
15-31442,False,False,True,False,False,False,
15-31663,False,False,False,False,False,False,Maison de retraite
15-31713,False,False,False,False,False,False,
15-32010,True,False,False,False,False,False,
15-32036,False,False,True,False,False,False,
15-32251,False,False,True,False,False,False,
15-32331,False,False,False,False,True,False,
15-32397,False,False,False,False,True,False,
15-32420,False,False,False,False,True,False,
15-32461,False,False,False,False,True,False,
15-32505,False,False,False,False,True,False,
15-32811,False,False,False,False,True,False,
15-32937,True,False,False,False,False,False,
15-33506,False,False,False,False,True,False,
15-33646,False,False,False,False,True,False,
15-3365,False,False,False,False,False,False,Etablissement public territorial - Etablissement Public de Coopération Intercommunale.
15-76027,False,False,True,False,False,False,
15-34174,True,False,False,False,False,False,
15-35285,False,False,False,False,True,False,
15-35469,False,False,True,False,False,False,
15-35492,True,False,False,False,False,False,
15-35554,False,False,True,False,False,False,
15-35646,False,False,True,False,False,False,
15-35906,False,False,True,False,False,False,
15-36107,False,False,True,False,False,False,
15-36108,False,False,False,False,True,False,
15-36147,False,False,False,False,True,False,
15-36369,False,False,False,False,False,False,société d'économie mixte
15-36459,False,False,False,False,True,False,
15-36633,False,False,False,False,True,False,
15-36731,False,False,False,False,True,False,
15-36826,True,False,False,False,False,False,
15-36993,False,False,True,False,False,False,
15-38590,False,False,False,False,False,False,
15-37287,False,False,False,False,False,False,Etablissement Public Territorial
15-37345,False,False,False,False,True,False,
15-68559,False,False,False,False,True,False,
15-37413,False,False,True,False,False,False,
15-37590,False,False,False,False,False,False,Etablissement public territorial - Etablissement Public de Coopération Intercommunale.
15-38058,True,False,False,False,False,False,
15-38072,False,False,True,False,False,False,
15-38279,False,False,False,False,True,False,
15-38392,False,False,False,True,False,False,
15-38448,False,False,False,False,True,False,
15-38458,False,False,True,False,False,False,
15-38492,True,False,False,False,False,False,
15-38568,False,False,False,False,False,False,collectivité territoriale
15-38660,False,False,True,False,False,False,
15-38843,False,False,False,False,False,False,Recherche
15-38933,False,False,False,False,False,False,etablissement Public de Coopération Intercommunale
15-38979,False,False,True,False,False,False,
15-39151,False,False,True,False,False,False,
15-39295,False,False,False,False,True,False,
15-39383,True,False,False,False,False,False,
15-39612,False,False,False,False,False,False,Société d'économie mixte
15-39715,False,False,False,False,False,False,Collectivité territoriale
15-39778,False,False,False,False,False,False,
15-40093,True,False,False,False,False,False,
15-40500,False,False,False,False,True,False,
15-40655,False,False,True,False,False,False,
15-40904,False,False,False,False,False,False,
15-41003,False,False,True,False,False,False,
15-41025,False,False,False,False,True,False,
15-41076,True,False,False,False,False,False,
15-41216,False,False,False,False,False,False,société privée titulaire d'un contrat de concession de service public
15-41316,False,False,False,False,True,False,
15-41371,False,False,True,False,False,False,
15-41437,False,False,False,False,False,False,Centre Communal d'Action Sociale
15-41704,False,False,False,False,False,False,
15-41802,False,False,False,False,True,False,
15-41860,False,False,True,False,False,False,
15-41890,False,False,True,False,False,False,
15-41891,False,False,True,False,False,False,
15-41992,False,False,False,False,True,False,
15-42019,False,False,False,False,True,False,
15-42074,False,False,False,False,False,False,
15-42080,False,False,True,False,False,False,
15-42180,False,False,False,False,True,False,
15-42189,False,False,True,False,False,False,
15-42317,False,False,False,False,False,False,Société d'Economie Mixte
15-42471,True,False,False,False,False,False,
15-42693,False,False,False,False,False,False,
15-42697,False,False,True,False,False,False,
15-42751,False,False,True,False,False,False,
15-42895,False,False,True,False,False,False,
15-42929,False,False,True,False,False,False,
15-42971,False,False,False,False,False,False,Etablissement public de coopération intercommunale
15-43143,False,False,False,False,False,False,
15-43226,False,False,False,False,True,False,
15-43227,False,False,False,False,False,False,
15-43458,True,False,False,False,False,False,
15-43505,False,False,False,False,True,False,
15-43544,True,False,False,False,False,False,
15-43623,False,False,False,False,True,False,
15-43751,False,False,True,False,False,False,
15-43787,False,False,True,False,False,False,
15-43853,False,False,True,False,False,False,
15-43865,False,False,False,False,False,False,
15-43910,False,False,False,False,False,False,Etablissement Public de Coopération Intercommunal
15-43968,False,False,True,False,False,False,
15-43969,False,False,True,False,False,False,
15-44040,False,False,False,False,True,False,
15-44146,False,False,False,False,True,False,
15-44164,False,False,False,False,True,False,
15-44344,False,False,True,False,False,False,
15-44358,True,False,False,False,False,False,
15-44382,False,False,True,False,False,False,
15-44447,False,False,True,False,False,False,
15-44508,False,False,True,False,False,False,
15-44580,False,False,True,False,False,False,
15-44705,False,False,True,False,False,False,
15-44756,False,False,True,False,False,False,
15-44928,False,False,False,False,True,False,
15-45018,False,False,True,False,False,False,
15-45059,True,False,False,False,False,False,
15-45067,False,False,False,False,True,False,
15-45109,False,False,False,False,True,False,
15-45187,False,False,False,False,True,False,
15-70264,False,False,True,False,False,False,
15-45276,False,False,False,False,True,False,
15-45310,False,False,False,False,False,False,EPA
15-45362,False,False,False,False,True,False,
15-45378,False,False,False,False,True,False,
15-45383,False,False,False,False,True,False,
15-45455,False,False,True,False,False,False,
15-45546,False,False,True,False,False,False,
15-45592,False,False,False,False,False,False,collectivité territoriale
15-45634,False,False,True,False,False,False,
15-45644,False,False,True,False,False,False,
15-45687,False,False,True,False,False,False,
15-45811,False,False,True,False,False,False,
15-45924,False,False,False,False,True,False,
15-46015,False,False,True,False,False,False,
15-46033,False,False,False,False,True,False,
15-46043,False,False,True,False,False,False,
15-46099,False,False,False,False,True,False,
15-46127,False,False,True,False,False,False,
15-46146,False,False,True,False,False,False,
15-46227,False,False,True,False,False,False,
15-46245,False,False,True,False,False,False,
15-46246,False,False,True,False,False,False,
15-46280,False,False,False,False,False,False,Syndicat mixte départemental d'études et de traitement des déchets ménagers de Vendée
15-46289,False,False,True,False,False,False,
15-46342,False,False,True,False,False,False,
15-46366,True,False,False,False,False,False,
15-46398,False,False,True,False,False,False,
15-46405,False,False,True,False,False,False,
15-46433,False,False,True,False,False,False,
15-46455,False,False,False,False,False,False,EPIC organisme de droit public
15-46489,False,False,True,False,False,False,
15-46520,False,False,True,False,False,False,
