BOAMP_AVIS_NUM,D_15_01_Conditionadministrative_Referencemarche,D_15_02_Conditionadministrative_Etudesconcours,D_15_03_Conditionadministrative_Recompenseslaureatoui,D_15_04_Conditionadministrative_Recompensesaureatnon,D_15_05_Conditionadministrative_Recompenseslaureat,D_15_06_Conditionadministrative_Indemnisationparticipants,D_15_07_Conditionadministrative_Conditionsremiseoffres,D_15_08_Conditionadministrative_Conditionsetmodepaiementobtenirdocuments,D_15_09_Conditionadministrative_Datelimiteobtentiondocuments,D_15_10_Conditionadministrative_Documentpayantoui,D_15_10_01_Conditionadministrative_Documentpayantoui_Valeur,D_15_10_01_01_Conditionadministrative_Documentpayantoui_Valeur_Value,D_15_10_01_02_Conditionadministrative_Documentpayantoui_Valeur_Devise,D_15_11_Conditionadministrative_Documentpayantnon,D_15_12_Conditionadministrative_Persouvertureoffresoui,D_15_13_Conditionadministrative_Persouvertureoffresnon,D_15_14_Conditionadministrative_Datedebutattribution,D_15_15_Conditionadministrative_Dateouvertureoffres,D_15_16_Conditionadministrative_Lieuouvertureoffres,D_15_17_Conditionadministrative_Abandonsadoui,D_15_18_Conditionadministrative_Abandonsadnon,D_15_19_Conditionadministrative_Finattributionoui,D_15_20_Conditionadministrative_Finattributionnon,D_15_21_Conditionadministrative_Envoielectroniqueavecoutiloui,D_15_22_Conditionadministrative_Envoielectroniqueavecoutilnon
09-113327,2015-01,,False,False,,,Les documents doivent être remis dans une enveloppe intérieure cachetée avec mention Mapa pour la construction d'une salle multifonctions- envoi recommandé AR ou dépôt en mairie contre récépissé,,,CF_NIV_SUIV,CF_NIV_SUIV,,,False,,False,,,,,False,False,False,False,False
09-248141,,,False,False,,,"Les candidats doivent choisir entre l'envoi électronique, le support papier ou le cas échéantun support physique électronique remis contre récépissé au Secrétariat ou transmis par lettrerecommandée avec demande d'avis de réception postal avant le Lundi 18 mai 2015 à 12heuresLes offres et les candidatures seront remises sous enveloppe portant l'adresse et les mentionssuivantesMonsieur Le Maire Hôtel de ville 101, rue Jules Guesde59175 TEMPLEMARSOffre pour : Abords CTMLot no :"" NE PAS OUVRIR """,Le D.C.E. est disponible sur le site :https://marches.cdg59.frL'intitulé de la consultation est :Abords CTMLes modalités pratiques sont détaillées sur ce site.,,CF_NIV_SUIV,CF_NIV_SUIV,,,False,,False,,,,,False,False,False,False,False
09-53660,15 00055/57 000238 86,,False,False,,,,Les documents sont téléchargeables sur le site www.achatpublic.com,,CF_NIV_SUIV,CF_NIV_SUIV,,,False,,False,,,,,False,False,False,False,False
11-48770,,,False,False,,,Voir RC,,,CF_NIV_SUIV,CF_NIV_SUIV,,,False,,False,,,,,False,False,False,False,False
14-103373,2015SAIP-05,,False,False,,,"Deux modes de transmission alternatifs sont ouverts aux candidats :.1. Sur support papier .2. Par voie électronique sur le portail de dématérialisation des marchés publics de l'Assemblée nationale, accessible à l'Url suivante : http://www.assemblee-nationale.fr/, rubrique marchés publics ou à l'adresse suivante : https://assemblee-nationale.achatpublic.com.Se reporter au Règlement de la consultation.Les plis qui seraient remis ou dont l'avis de réception serait délivré après la date et l'heure limite de remise des offres, ainsi que les envois remis sous enveloppe non fermée, ne seront pas retenus.",gratuité,,CF_NIV_SUIV,CF_NIV_SUIV,,,False,,False,,,,,False,False,False,False,False
14-132415,15TRA003,,False,False,,,"les plis seront adressés : - soit par dépôt direct contre récépissé, au service des marchés publics, 174 rue pasteur 62110 Hénin Beaumont. - soit par envoi recommandé avec demande de réception postal à M. le maire d'hénin Beaumont, 1 place Jean Jaurès, CS 90109 62252 Hénin Beaumont Cedex Une réponse par offre dématérialisée est acceptée par l'intermédiaire de notre site à l'adresse : http://www.mairie-heninbeaumont.fr/Services-en-ligne/Marches-publics. Dans tous les cas, il devra être précisé sur l'enveloppe la mention suivante de façon apparente : Procédure adaptée - Travaux de restauration de l'enveloppe extérieure de l'église Saint-Martin à Hénin-Beaumont- Lot(s) ___ - ne pas ouvrir - ainsi que le cachet du candidat.",La transmission du dossier de consultation des entreprises est gratuite et la demande devra être faite soit : - par télécopie au 03.91.83.01.94 - par courrier à : Mairie d'hénin Beaumont - service des Marchés Publics - 1 Place Jean Jaurès CS 90109 - 62252 Hénin Beaumont Cedex - par courriel à : mpub@mairie-heninbeaumont.fr Le dossier de consultation des entreprises est également téléchargeable dans sa totalité sur notre site de dématérialisation ci-après : http://www.mairie-heninbeaumont.fr/Services-en-ligne/Marches-publics.,,CF_NIV_SUIV,CF_NIV_SUIV,,,False,,False,,,,,False,False,False,False,False
14-133510,2014/77/020,,False,False,,,,,,CF_NIV_SUIV,CF_NIV_SUIV,,,False,,False,,,,,False,False,False,False,False
14-137107,2015-03-cg,,False,False,,,Le dossier de consultation est téléchargeable sur la PLACE et aucun envoi de dossier papier ne sera effectué. no de référence dossier sur la PLACE : 2015-03-cg.,,,CF_NIV_SUIV,CF_NIV_SUIV,,,False,,False,,,,,False,False,False,False,False
14-140452,,,False,False,,,,,2015-05-17 22:00:00,CF_NIV_SUIV,CF_NIV_SUIV,,,True,,False,,,,,False,False,False,False,False
14-144639,,,False,False,,,"Les candidats transmettent, avant la date limite de réception des offres, leurs candidatures et offres sous pli cacheté portant les mentions : 'OFFRE pour : nettoyage et maintenance préventive et curative des cuves enterrées appartenant à la CCPN - NE PAS OUVRIR' et ce, à l'adresse suivante: -pour les envois postaux en RAR et les remises contre récépissé: CCPN, service marchés publics, Campus Inovia, 1435 boulevard Cambronne, 60400 Noyon (pour les remises contre récépissé, les horaires d'ouverture sont du lundi au vendredi de 9h à 12h et de 13h30 à 17h30 sauf le vendredi jusque 16h30). Les candidatures et offres peuvent également faire l'objet d'un dépôt dématérialisé à l'adresse www.marches-securises.fr dans les conditions des articles 48.I et 56 du code des marchés publics ainsi que de l'arrêté du 15 juin 2012 relatif à la signature électronique dans les marchés publics. Pour transmettre leurs offres par voie électronique, via la plateforme de dématérialisation www.marches-securises.fr, les opérateurs économiques devront s'inscrire sur la plateforme de dématérialisation de la CCPN à l'adresse www.marches-securises.fr et être titulaire d'un certificat de signature électronique qui garantit notamment l'identification du candidat.",Le dossier de consultation est téléchargeable gratuitement à l'adresse www.marches-securises.fr; les candidats devront de préférence s'identifier afin d'avoir accès aux éventuels échanges de questions/réponses et/ou aux éventuelles modifications apportées en cours de consultation.,,CF_NIV_SUIV,CF_NIV_SUIV,,,False,,False,,,,,False,False,False,False,False
