BOAMP_AVIS_NUM,D_02_01_Typeorganisme_Institutioneuropeenne,D_02_02_Typeorganisme_Etat,D_02_03_Typeorganisme_Region,D_02_04_Typeorganisme_Departement,D_02_05_Typeorganisme_Commune,D_02_06_Typeorganisme_Epn,D_02_07_Typeorganisme_Ept,D_02_08_Typeorganisme_Autre
15-90166,False,False,False,False,False,True,False,
15-90170,False,False,False,False,True,False,False,
15-90171,False,False,False,False,False,False,True,
15-90172,False,False,False,False,False,False,False,
15-90176,False,False,False,False,True,False,False,
15-90177,False,True,False,False,False,False,False,
15-90178,False,False,False,False,False,False,False,
15-90180,False,False,False,False,True,False,False,
15-90181,False,False,False,True,False,False,False,
15-90184,False,False,False,False,True,False,False,
15-90185,False,False,False,False,True,False,False,
15-90186,False,False,False,False,False,False,True,
15-90188,False,False,False,False,True,False,False,
15-90189,False,False,False,False,False,False,True,
15-90190,False,False,False,False,False,True,False,
15-90191,False,False,False,True,False,False,False,
15-90194,False,False,False,False,False,True,False,
15-90195,False,False,False,False,False,False,False,
15-90196,False,False,False,False,True,False,False,
15-90197,False,False,False,False,True,False,False,
15-90199,False,False,False,False,False,False,True,
15-90201,False,False,False,False,False,True,False,
15-90203,False,False,False,False,True,False,False,
15-90206,False,False,False,False,False,False,True,
15-90207,False,False,False,False,False,False,False,
15-90208,False,True,False,False,False,False,False,
15-90210,False,False,False,False,False,False,True,
15-90211,False,False,False,False,False,False,True,
15-90212,False,False,True,False,False,False,False,
15-90218,False,False,False,False,False,False,False,
15-90219,False,False,False,False,True,False,False,
15-90220,False,False,False,False,False,True,False,
15-90223,False,True,False,False,False,False,False,
15-90224,False,False,False,False,False,True,False,
15-90225,False,False,False,False,False,False,True,
15-90227,False,False,False,False,True,False,False,
15-90230,False,False,False,False,True,False,False,
15-90235,False,True,False,False,False,False,False,
15-90237,False,False,False,False,False,False,False,
15-90244,False,True,False,False,False,False,False,
15-90245,False,True,False,False,False,False,False,
15-90246,False,False,False,True,False,False,False,
15-90247,False,False,False,False,False,False,False,
15-90248,False,True,False,False,False,False,False,
15-90249,False,False,False,True,False,False,False,
15-90252,False,False,False,False,False,False,False,
15-90254,False,False,False,False,False,False,True,
15-90256,False,False,False,False,True,False,False,
15-90257,False,False,False,False,False,False,False,
15-90264,False,False,False,False,False,False,True,
15-90265,False,False,False,False,True,False,False,
15-90266,False,False,False,True,False,False,False,
15-90270,False,False,False,False,True,False,False,
15-90271,False,False,False,False,True,False,False,
15-90272,False,False,False,True,False,False,False,
15-90273,False,False,False,False,False,True,False,
15-90274,False,False,False,False,True,False,False,
15-90275,False,False,False,False,False,False,True,
15-90278,False,False,False,True,False,False,False,
15-90279,False,False,False,False,True,False,False,
15-90281,False,False,False,False,False,False,True,
15-90282,False,False,False,False,False,False,False,
15-90285,False,False,False,False,False,False,True,
15-90289,False,False,False,False,False,False,True,
15-90290,False,False,False,True,False,False,False,
15-90291,False,False,False,False,True,False,False,
15-90292,False,False,False,False,True,False,False,
15-90294,False,False,False,False,True,False,False,
15-90296,False,False,False,False,False,False,True,
15-90297,False,False,False,False,False,False,True,
15-90298,False,False,False,False,False,True,False,
15-90299,False,False,False,False,False,False,True,
15-90301,False,False,False,False,False,False,True,
15-90307,False,False,True,False,False,False,False,
15-90308,False,False,False,False,False,False,False,
15-90309,False,False,False,False,False,True,False,
15-90310,False,False,False,False,False,False,True,
15-90311,False,True,False,False,False,False,False,
15-90313,False,False,False,False,True,False,False,
15-90314,False,True,False,False,False,False,False,
15-90315,False,False,False,False,True,False,False,
15-90319,False,False,False,False,True,False,False,
15-90320,False,False,False,False,True,False,False,
15-90321,False,False,False,False,True,False,False,
15-90322,False,False,False,True,False,False,False,
15-90323,False,False,False,False,False,False,True,
15-90324,False,True,False,False,False,False,False,
15-90326,False,True,False,False,False,False,False,
15-90330,False,False,False,False,True,False,False,
15-90333,False,False,False,False,False,False,True,
15-90334,False,False,False,True,False,False,False,
15-90335,False,False,True,False,False,False,False,
15-90337,False,False,False,False,True,False,False,
15-90338,False,False,False,False,True,False,False,
15-90340,False,False,False,True,False,False,False,
15-90341,False,False,False,False,False,False,False,
15-90343,False,True,False,False,False,False,False,
15-90346,False,False,False,False,False,False,True,
15-90347,False,False,False,False,False,False,False,
15-90349,False,False,False,False,False,False,True,
15-90351,False,False,False,False,False,False,True,
15-90352,False,False,False,False,False,False,True,
15-90353,False,False,False,False,True,False,False,
15-90356,False,False,False,False,False,False,True,
15-90357,False,False,False,False,True,False,False,
15-90358,False,False,False,False,True,False,False,
15-90359,False,True,False,False,False,False,False,
15-90361,False,False,False,True,False,False,False,
15-90363,False,False,False,False,False,False,True,
15-90368,False,False,False,False,True,False,False,
15-90369,False,False,False,False,False,False,False,
15-90370,False,True,False,False,False,False,False,
15-90371,False,False,False,False,False,False,False,
15-90372,False,False,False,True,False,False,False,
15-90374,False,False,False,False,True,False,False,
15-106494,False,False,False,False,False,False,False,
15-90377,False,False,False,False,False,False,False,
15-90378,False,False,False,False,False,False,True,
15-90379,False,False,False,False,True,False,False,
15-90380,False,False,False,False,True,False,False,
15-90381,False,False,False,False,True,False,False,
15-90382,False,False,False,True,False,False,False,
15-90383,False,False,False,False,False,False,False,
15-90386,False,False,False,False,False,False,False,
15-90387,False,False,False,False,True,False,False,
15-90389,False,True,False,False,False,False,False,
15-90390,False,False,False,False,False,False,True,
15-90391,False,False,False,False,True,False,False,
15-90392,False,True,False,False,False,False,False,
15-90395,False,False,False,False,False,True,False,
15-90397,False,False,False,False,False,False,False,
15-90398,False,False,False,False,False,False,True,
15-90401,False,True,False,False,False,False,False,
15-90403,False,False,False,False,True,False,False,
15-90406,False,False,False,True,False,False,False,
15-90409,False,False,False,False,False,False,True,
15-90411,False,False,False,False,False,False,False,
15-90412,False,False,False,False,True,False,False,
15-90413,False,False,False,False,False,False,False,
15-90414,False,False,True,False,False,False,False,
15-90415,False,False,False,False,True,False,False,
15-90418,False,False,False,False,True,False,False,
15-90421,False,False,False,False,False,False,True,
15-90422,False,False,False,False,False,False,False,
15-90423,False,False,False,True,False,False,False,
15-90426,False,False,False,False,False,True,False,
15-90427,False,True,False,False,False,False,False,
15-90429,False,False,False,False,False,False,True,
15-90431,False,False,False,False,False,True,False,
15-90433,False,True,False,False,False,False,False,
15-90435,False,False,False,False,True,False,False,
15-90438,False,True,False,False,False,False,False,
15-90439,False,False,True,False,False,False,False,
15-90440,False,False,False,False,False,True,False,
15-90441,False,False,False,False,False,False,True,
15-90443,False,False,False,False,False,False,True,
15-90444,False,False,False,False,True,False,False,
15-90446,False,False,False,False,False,False,True,
15-90449,False,False,False,False,False,False,True,
15-90450,False,True,False,False,False,False,False,
15-90451,False,False,False,False,True,False,False,
15-90452,False,False,False,False,False,False,False,
15-90454,False,False,False,False,False,False,True,
15-90457,False,False,False,False,True,False,False,
15-90459,False,False,True,False,False,False,False,
15-90460,False,False,False,True,False,False,False,
15-90461,False,False,False,False,True,False,False,
15-90464,False,False,False,False,False,False,True,
15-90469,False,False,False,False,False,True,False,
15-90471,False,False,False,True,False,False,False,
15-90472,False,False,False,True,False,False,False,
15-90477,False,False,False,False,False,False,True,
15-90482,False,False,False,True,False,False,False,
15-90488,False,False,False,False,True,False,False,
15-90491,False,False,False,False,True,False,False,
15-90492,False,False,False,False,True,False,False,
15-90493,False,False,False,False,False,False,True,
15-90495,False,False,False,False,False,False,True,
15-90496,False,False,False,False,True,False,False,
15-90498,False,False,False,False,False,True,False,
15-90499,False,False,False,False,True,False,False,
15-90500,False,False,False,False,True,False,False,
15-90502,False,False,False,True,False,False,False,
15-90507,False,False,False,False,True,False,False,
15-90511,False,True,False,False,False,False,False,
15-90512,False,False,False,False,True,False,False,
15-90513,False,False,False,False,True,False,False,
15-90514,False,False,False,False,True,False,False,
15-90518,False,True,False,False,False,False,False,
15-90519,False,False,False,False,False,False,True,
15-90523,False,False,False,False,True,False,False,
15-90526,False,False,False,False,True,False,False,
15-90527,False,False,False,False,False,False,False,
15-90532,False,False,False,False,False,False,False,
15-90533,False,False,False,False,False,False,True,
15-90535,False,False,False,False,False,False,False,
15-90540,False,False,False,False,False,False,True,
15-90541,False,False,False,False,False,False,True,
15-90542,False,False,False,True,False,False,False,
15-90543,False,False,False,False,False,False,True,
15-90544,False,False,False,False,True,False,False,
15-90545,False,False,False,False,False,False,True,
15-90546,False,False,False,False,False,False,False,
15-90547,False,False,False,False,True,False,False,
15-90549,False,False,False,False,False,False,True,
15-90550,False,False,False,False,True,False,False,
15-90551,False,False,False,False,False,False,True,
15-90553,False,False,False,False,False,False,True,
15-90554,False,False,False,False,True,False,False,
15-90555,False,False,False,False,False,False,True,
15-90557,False,False,False,False,True,False,False,
15-90558,False,False,False,False,True,False,False,
15-90561,False,False,False,False,False,False,True,
15-90562,False,False,False,False,True,False,False,
15-90563,False,False,False,False,False,False,False,
15-90564,False,False,False,False,True,False,False,
15-90565,False,False,False,False,True,False,False,
15-90568,False,True,False,False,False,False,False,
15-90569,False,False,False,False,False,False,True,
15-90570,False,False,False,False,False,True,False,
15-90571,False,False,False,False,True,False,False,
15-90574,False,False,False,True,False,False,False,
15-90578,False,False,False,False,False,False,False,
15-90579,False,False,False,False,False,False,True,
15-90581,False,False,False,False,True,False,False,
15-90582,False,False,False,False,False,True,False,
15-90583,False,False,False,False,True,False,False,
15-90586,False,False,False,False,False,False,True,
15-90589,False,False,False,False,False,True,False,
15-90592,False,False,False,False,True,False,False,
15-90593,False,False,False,False,True,False,False,
15-90597,False,True,False,False,False,False,False,
15-90598,False,False,False,False,False,False,True,
15-90604,False,True,False,False,False,False,False,
15-90605,False,False,False,False,False,False,False,
15-90606,False,False,False,False,True,False,False,
15-90607,False,False,False,True,False,False,False,
15-90609,False,False,False,False,False,False,True,
15-90610,False,False,False,False,True,False,False,
15-90616,False,False,False,False,True,False,False,
15-90617,False,False,False,False,False,False,False,
15-90618,False,False,False,False,True,False,False,
15-90619,False,False,False,False,True,False,False,
15-90620,False,False,False,False,True,False,False,
15-90624,False,False,False,False,False,False,True,
15-90625,False,False,False,False,False,True,False,
15-90626,False,False,False,False,False,False,False,
15-90629,False,False,False,False,False,False,False,
15-90631,False,False,False,False,False,False,True,
15-90633,False,False,False,False,False,False,False,
15-90635,False,False,False,True,False,False,False,
15-90637,False,False,False,False,False,False,False,
15-90640,False,False,False,False,True,False,False,
15-90641,False,False,False,False,True,False,False,
15-90642,False,False,False,False,False,False,True,
15-90643,False,False,False,False,False,True,False,
15-90645,False,False,False,False,False,True,False,
15-90646,False,True,False,False,False,False,False,
15-90647,False,False,False,False,True,False,False,
15-90648,False,False,False,False,False,False,True,
15-90649,False,False,False,False,False,False,True,
15-90650,False,False,False,False,False,False,False,
15-90651,False,False,False,False,False,False,False,
15-90654,False,False,False,False,False,True,False,
15-90655,False,False,False,True,False,False,False,
15-90656,False,False,False,False,False,False,True,
15-90660,False,False,False,True,False,False,False,
15-90661,False,False,False,True,False,False,False,
15-90663,False,False,True,False,False,False,False,
15-90665,False,False,False,False,True,False,False,
15-90669,False,True,False,False,False,False,False,
15-90671,False,False,False,False,True,False,False,
15-90672,False,True,False,False,False,False,False,
15-90673,False,False,False,False,True,False,False,
15-90674,False,False,False,True,False,False,False,
15-90676,False,True,False,False,False,False,False,
15-90677,False,False,False,False,False,True,False,
15-90680,False,False,False,False,True,False,False,
15-90683,False,False,False,False,False,True,False,
15-90684,False,True,False,False,False,False,False,
15-90685,False,False,False,False,False,False,True,
15-90686,False,False,False,False,False,False,False,
15-90688,False,False,False,False,True,False,False,
15-90689,False,False,False,False,True,False,False,
15-90690,False,False,False,False,False,False,False,
15-90691,False,False,True,False,False,False,False,
15-90692,False,False,False,False,False,False,True,
15-90696,False,False,True,False,False,False,False,
15-90697,False,False,False,False,False,False,True,
15-90698,False,True,False,False,False,False,False,
15-90700,False,False,False,False,False,False,False,
15-90702,False,False,False,False,False,False,True,
15-90703,False,False,False,False,True,False,False,
15-90706,False,False,False,True,False,False,False,
15-90707,False,False,False,False,False,False,False,
15-90708,False,False,False,False,False,True,False,
15-90710,False,False,False,False,True,False,False,
15-90711,False,False,False,False,True,False,False,
15-90712,False,False,False,False,False,False,False,
15-90713,False,False,False,False,False,False,True,
15-90714,False,False,False,False,True,False,False,
15-90715,False,False,False,False,False,False,False,
15-90717,False,False,False,False,True,False,False,
15-90719,False,False,False,False,True,False,False,
15-90722,False,False,False,True,False,False,False,
15-90723,False,False,False,True,False,False,False,
15-90724,False,False,False,False,True,False,False,
15-90726,False,False,False,False,False,False,True,
15-90727,False,False,False,False,False,False,False,
15-90731,False,False,False,False,False,False,True,
15-90733,False,False,False,False,False,False,True,
15-90740,False,False,True,False,False,False,False,
15-90743,False,False,False,True,False,False,False,
15-90744,False,False,False,False,True,False,False,
15-90745,False,False,False,False,True,False,False,
15-90746,False,False,False,False,False,True,False,
15-90747,False,False,False,False,True,False,False,
15-90749,False,False,False,False,True,False,False,
15-90751,False,False,False,False,False,False,True,
15-90752,False,False,False,False,False,False,False,
15-90760,False,False,False,False,False,False,False,
15-90764,False,False,False,False,False,False,True,
15-90765,False,False,False,False,False,True,False,
15-90766,False,False,False,False,False,False,False,
15-90771,False,False,False,False,False,False,False,
15-90772,False,False,False,False,True,False,False,
15-90773,False,False,False,False,True,False,False,
15-90774,False,True,False,False,False,False,False,
15-90777,False,False,False,False,False,False,True,
15-90778,False,False,False,False,True,False,False,
15-90779,False,False,False,False,False,True,False,
15-90780,False,False,False,False,True,False,False,
15-90782,False,False,False,False,False,True,False,
15-90783,False,False,False,False,False,True,False,
15-90784,False,False,False,False,False,False,False,
15-105971,False,False,False,False,False,True,False,
15-90788,False,False,False,False,False,True,False,
15-90791,False,False,False,False,False,False,False,
15-90792,False,False,False,False,False,False,True,
15-90794,False,False,False,False,False,False,False,
15-90797,False,False,False,False,True,False,False,
15-90804,False,False,False,False,False,False,True,
15-90805,False,True,False,False,False,False,False,
15-90807,False,False,False,False,False,True,False,
15-90809,False,False,False,False,True,False,False,
15-90810,False,False,False,False,False,False,True,
15-90814,False,False,False,False,True,False,False,
15-90816,False,False,False,False,True,False,False,
15-90819,False,False,False,False,False,True,False,
15-90821,False,False,False,False,True,False,False,
15-90822,False,False,False,True,False,False,False,
15-90824,False,False,False,False,False,False,True,
15-90825,False,False,True,False,False,False,False,
15-90826,False,False,False,False,False,False,True,
15-90827,False,False,False,False,False,False,True,
15-90830,False,False,False,False,True,False,False,
15-90831,False,False,False,False,True,False,False,
15-90832,False,False,False,False,False,False,True,
15-90833,False,False,False,False,True,False,False,
15-90835,False,False,False,False,True,False,False,
15-90836,False,False,False,False,True,False,False,
15-90838,False,False,False,False,True,False,False,
15-90839,False,False,False,False,True,False,False,
15-90840,False,False,False,False,True,False,False,
15-90841,False,False,False,True,False,False,False,
