BOAMP_AVIS_NUM,D_12_01_Conditionrelativemarche_Cautionnement,D_12_02_Conditionrelativemarche_Financement,D_12_03_Conditionrelativemarche_Formejuridique,D_12_04_Conditionrelativemarche_Participationelectroniqueoui,D_12_05_Conditionrelativemarche_Participationelectroniquenon,D_12_06_Conditionrelativemarche_Autresconditionspartoui,D_12_07_Conditionrelativemarche_Autresconditionspartnon,D_12_08_Conditionrelativemarche_Unitemonetaireeur,D_12_09_Conditionrelativemarche_Francaisseul,D_12_10_Conditionrelativemarche_Langues,D_12_10_01_Conditionrelativemarche_Langues_Langue,D_12_10_02_Conditionrelativemarche_Langues_Autres
15-110125,,,,False,False,,False,True,True,CF_NIV_SUIV,,
15-110126,,le mandatement des sommes dues au titre du présent interviendra dans le délai de trente jours (30) jours à compter de la date de remise de sa facture par le titulaire.,,False,False,,False,True,False,CF_NIV_SUIV,,
15-110131,,Mode de financement : Les crédits émaneront du budget propre du Département..- Mode de paiement : Virement bancaire (Mandat administratif).- Délai de paiement : 30 jours,"Pas de forme imposée. En cas d'attribution du marché à un groupement conjoint, le mandataire du groupement sera solidaire, pour l'exécution du marché, de chacun des membres du groupement pour ses obligations contractuelles. Le pouvoir adjudicateur interdit aux candidats de présenter leurs offres en agissant à la fois en qualité de candidats individuels et de membres d'un ou plusieurs groupements. Le pouvoir adjudicateur interdit aux candidats de présenter leurs offres en agissant à la fois en qualité de membres de plusieurs groupements",False,False,,False,True,False,CF_NIV_SUIV,['FR'],
15-103478,"- Aucun cautionnement ne sera demandé. - aucune garantie financière liée à l'exécution des prestations ne sera appliquée. - le titulaire, sauf s'il s'agit d'un organisme public, doit justifier de la constitution d'une garantie à première demande à concurrence de 100,00 % du montant de l'avance. - il ne sera pas accepté de caution personnelle et solidaire.",- Application des articles 86 à 111 du code des marchés publics. - les prestations seront rémunérées par application aux quantités réellement exécutées des prix du bordereau des prix unitaires. - ces prix unitaires sont révisables annuellement en cas de reconduction.- règlement des comptes selon les modalités du marché et du C.C.A.G. - f..c.s. - une avance peut être accordée selon les modalités du marché et du code des marchés publics. - délai global de paiement de 30 jours. - financement par le budget communal de la ville d'Achères et le budget du centre communal d'action sociale de la ville d'achères.,"- En cas de groupement, la forme souhaitée par le pouvoir adjudicateur est un groupement solidaire.- Si le groupement attributaire du marché est d'une forme différente, il pourra se voir contraint d'assurer sa transformation pour se conformer au souhait du pouvoir adjudicateur tel qu'il est indiqué ci-dessus.- Il est interdit aux candidats de présenter plusieurs offres en agissant à la fois :. En qualité de candidats individuels et de membres d'un ou plusieurs groupements ;. En qualité de membres de plusieurs groupements.",False,False,,False,True,False,CF_NIV_SUIV,['FR'],
15-110138,,,Groupement solidaire,False,False,,False,True,False,CF_NIV_SUIV,,
15-110139,,,,False,False,,False,False,False,CF_NIV_SUIV,['FR'],
15-110142,,Ressources prises sur le budget de l'Etat.,"Dans le cas où les soumissionnaires se présenteraient sous la forme d'un groupement conjoint, le pouvoir adjudicateur exigera, après attribution du marché, que la forme du groupement attributaire soit un groupement solidaire.",False,False,,True,False,False,CF_NIV_SUIV,['FR'],
15-110144,,"Le paiement des sommes dues est effectué dans un délai global maximum de 30 jours.-Il est appliqué une retenue de garantie dont le montant est égal à 5% du montant initial du marché, augmenté, le cas échéant, du montant des avenants. La retenue de garantie est prélevée par fractions sur chacun des versements autres qu'une avance.-La retenue de garantie peut être remplacée par une caution personnelle et solidaire ou par une garantie à première demande dans les conditions prévues au code des marchés publics",Le groupement titulaire du marché devra adopter la forme juridique du groupement solidaire,False,False,,False,True,True,CF_NIV_SUIV,,
15-110145,,"Les modalités de règlement des comptes sont celles du C.C.A.G. - PI.Les prestations seront financées sur le budget de l'établissement et les sommes dues au titulaire et au(x) sous-traitant(s) de premier rang éventuel(s) du marché seront payées dans un délai de 30 jours à compter de la date de réception des demandes de paiement établies conformément au présent contrat. En cas de retard de paiement, le taux des intérêts moratoires et le montant de l'indemnité forfaitaire de recouvrement seront fixés en application de la loi no 2013-100 du 28 janvier 2013 et du décret no2013-269 du 29 mars 2013.Une avance pourra être versée en application de l'article 87 du code des marchés publics",,False,False,,True,False,False,CF_NIV_SUIV,['FR'],
15-110146,"Aucune disposition particulière, application du code des marchés publics",budget propre à la Métropole Européenne de Lille. Virement administratif. Délai global de paiement fixé à 30 jours. Les avances sont prévues dans les termes fixés à l'article 87 du code des marchés pubilcs. L'unité monétaire est l'euro.,"Conformément à l'article 51 du code des marchés publics, le pouvoir adjudicateur interdit aux candidats de présenter une offre en agissant à la fois en qualité de candidats individuels et de membres d'un ou plusieurs groupements. Lors de l'attribution, s'il s'agit d'un groupement, ce dernier devra revêtir la forme d'un groupement conjoint avec mandataire solidaire.",False,False,,True,False,False,CF_NIV_SUIV,['FR'],
15-110147,voir CCAP,voir CCAP,,False,False,,False,True,False,CF_NIV_SUIV,['FR'],
