BOAMP_AVIS_NUM,D_02_01_Typeorganisme_Institutioneuropeenne,D_02_02_Typeorganisme_Etat,D_02_03_Typeorganisme_Region,D_02_04_Typeorganisme_Departement,D_02_05_Typeorganisme_Commune,D_02_06_Typeorganisme_Epn,D_02_07_Typeorganisme_Ept,D_02_08_Typeorganisme_Autre
08-221808,False,False,False,False,True,False,False,
12-10923,False,False,False,False,False,False,True,
14-148447,False,True,False,False,False,False,False,
14-166074,False,False,False,False,False,False,True,
14-188193,False,False,False,False,False,False,False,
14-194275,False,False,False,False,False,False,True,
14-60877,False,False,False,False,False,False,True,
14-89299,False,False,False,False,True,False,False,
15-100894,False,False,False,False,False,False,True,
15-101030,False,False,False,False,False,False,True,
15-101507,False,False,True,False,False,False,False,
15-101736,False,False,False,False,True,False,False,
15-101740,False,False,False,False,False,True,False,
15-101790,False,False,False,False,False,True,False,
15-101811,False,False,False,False,True,False,False,
15-101931,False,False,False,False,False,False,False,
15-102205,False,False,False,False,False,False,True,
15-112494,False,False,False,False,False,True,False,
15-102612,False,False,False,True,False,False,False,
15-102874,False,True,False,False,False,False,False,
15-103478,False,False,False,False,True,False,False,
15-103770,False,False,False,False,False,False,True,
15-104099,False,False,False,False,True,False,False,
15-104124,False,False,False,False,False,False,True,
15-104152,False,True,False,False,False,False,False,
15-104607,False,False,False,True,False,False,False,
15-104696,False,False,False,False,False,False,True,
15-105159,False,False,False,True,False,False,False,
15-105309,False,False,False,False,False,False,True,
15-105346,False,False,False,True,False,False,False,
15-105656,False,False,False,False,True,False,False,
15-105767,False,False,False,False,False,False,False,
15-106058,False,False,False,False,True,False,False,
15-106130,False,False,False,False,False,False,True,
15-106530,False,False,False,False,True,False,False,
15-106542,False,True,False,False,False,False,False,
15-106610,False,False,False,True,False,False,False,
15-107321,False,True,False,False,False,False,False,
15-107383,False,True,False,False,False,False,False,
15-107665,False,False,False,True,False,False,False,
15-108870,False,False,False,False,False,False,True,
15-108894,False,True,False,False,False,False,False,
15-109023,False,False,False,False,True,False,False,
15-109160,False,False,False,False,False,False,True,
15-109271,False,False,True,False,False,False,False,
15-109362,False,False,False,False,False,False,True,
15-109408,False,False,False,False,False,False,True,
15-109428,False,False,False,False,True,False,False,
15-109493,False,False,False,False,False,False,True,
15-109661,False,False,False,False,True,False,False,
15-109716,False,False,False,False,False,False,True,
15-109759,False,False,False,False,False,True,False,
15-109774,False,False,False,False,False,False,True,
15-110168,False,False,False,False,False,True,False,
15-110451,False,False,False,False,True,False,False,
15-110452,False,False,False,False,True,False,False,
15-110533,False,False,False,False,False,False,False,
15-110947,False,False,False,False,False,False,True,
15-111096,False,False,False,False,False,True,False,
15-111224,False,True,False,False,False,False,False,
15-111391,False,True,False,False,False,False,False,
15-111827,False,False,False,True,False,False,False,
15-111880,False,False,False,False,False,False,True,
15-111894,False,False,False,False,True,False,False,
15-112168,False,False,False,False,False,True,False,
15-112204,False,False,False,True,False,False,False,
15-112284,False,False,False,False,True,False,False,
15-112288,False,False,False,False,False,False,False,
15-112530,False,False,False,False,False,False,False,
15-112862,False,False,False,False,False,False,True,
15-112864,False,False,False,False,False,False,True,
15-113109,False,False,False,False,True,False,False,
15-113870,False,False,False,True,False,False,False,
15-113939,False,False,False,False,False,False,True,
15-114012,False,True,False,False,False,False,False,
15-114084,False,False,False,False,False,True,False,
15-114187,False,False,False,False,False,False,False,
15-114263,False,False,False,False,False,True,False,
15-114276,False,False,True,False,False,False,False,
15-114300,False,False,False,False,True,False,False,
