BOAMP_AVIS_NUM,D_03_01_Typepouvoiradjudicateur_Minautoritenationale,D_03_02_Typepouvoiradjudicateur_Agencenational,D_03_03_Typepouvoiradjudicateur_Autotriteregional,D_03_04_Typepouvoiradjudicateur_Agenceregional,D_03_05_Typepouvoiradjudicateur_Orgdroitpublic,D_03_06_Typepouvoiradjudicateur_Institutioneuropeenne,D_03_07_Typepouvoiradjudicateur_Autre
15-126064,False,False,True,False,False,False,
15-126066,False,False,False,False,False,False,
15-126070,False,False,True,False,False,False,
15-126071,False,False,True,False,False,False,
15-126075,False,False,True,False,False,False,
15-126101,False,False,False,False,False,False,
15-126105,False,False,False,False,True,False,
15-126107,False,False,False,False,False,False,
15-126120,False,False,True,False,False,False,
15-126124,False,False,False,False,True,False,
15-126125,False,False,False,False,False,False,
15-126126,False,False,False,False,False,False,Association
15-126128,False,False,False,False,True,False,
15-126129,False,False,True,False,False,False,
15-126130,True,False,False,False,False,False,
15-126137,False,False,True,False,False,False,
15-126139,False,False,False,False,False,False,
15-126143,True,False,False,False,False,False,
15-126144,False,False,True,False,False,False,
15-126147,False,False,True,False,False,False,
15-126148,False,False,False,False,False,False,collectivité territoriale
15-126152,False,False,False,False,True,False,
15-126153,False,False,True,False,False,False,
15-126154,False,False,False,False,True,False,
15-126160,False,False,False,False,False,False,
15-126162,False,False,True,False,False,False,
15-126163,True,False,False,False,False,False,
15-126166,False,False,True,False,False,False,
15-126171,True,False,False,False,False,False,
15-126174,False,False,False,False,False,False,
15-126175,True,False,False,False,False,False,
15-126176,False,False,True,False,False,False,
15-126179,False,False,False,False,False,False,
15-126185,False,False,True,False,False,False,
15-126190,False,False,False,False,False,False,
15-126192,False,False,True,False,False,False,
15-126196,True,False,False,False,False,False,
15-126197,False,False,False,False,False,False,
15-126203,False,False,False,False,False,False,
15-126219,False,False,False,False,False,False,
15-126224,False,False,True,False,False,False,
15-126228,False,False,False,False,True,False,
15-126229,False,False,True,False,False,False,
15-126235,False,False,True,False,False,False,
15-126238,False,False,False,False,True,False,
