BOAMP_AVIS_NUM,D_03_01_Typepouvoiradjudicateur_Minautoritenationale,D_03_02_Typepouvoiradjudicateur_Agencenational,D_03_03_Typepouvoiradjudicateur_Autotriteregional,D_03_04_Typepouvoiradjudicateur_Agenceregional,D_03_05_Typepouvoiradjudicateur_Orgdroitpublic,D_03_06_Typepouvoiradjudicateur_Institutioneuropeenne,D_03_07_Typepouvoiradjudicateur_Autre
15-172690,False,False,False,False,True,False,
15-172691,False,False,False,False,True,False,
15-172693,False,False,True,False,False,False,
15-172696,False,False,False,False,True,False,
15-172699,False,False,True,False,False,False,
15-140370,False,False,True,False,False,False,
15-172701,False,False,False,False,True,False,
15-172704,False,False,True,False,False,False,
15-172710,False,False,False,False,True,False,
15-172714,False,False,True,False,False,False,
15-172715,False,False,False,False,True,False,
15-172718,False,False,True,False,False,False,
15-172721,False,False,False,False,False,False,
15-172722,False,False,True,False,False,False,
15-172730,False,False,False,False,True,False,
15-172739,False,False,True,False,False,False,
15-172744,False,False,False,False,False,False,
15-172749,False,False,True,False,False,False,
15-172755,False,False,False,False,False,False,
15-172760,False,False,False,False,True,False,
15-172764,False,False,False,True,False,False,
15-172770,False,False,False,False,True,False,
15-172771,False,False,True,False,False,False,
15-172772,False,False,False,False,True,False,
15-172774,False,False,True,False,False,False,
15-172775,False,False,True,False,False,False,
15-172776,False,False,False,False,False,False,Assemblée parlementaire
15-172778,False,False,True,False,False,False,
15-172779,False,False,True,False,False,False,
15-172783,False,False,True,False,False,False,
15-172785,False,False,True,False,False,False,
15-172789,False,False,False,False,True,False,
15-172792,False,False,False,False,False,False,Etablissement Public de santé
15-172802,False,False,True,False,False,False,
15-172804,False,False,False,False,False,False,
15-172808,False,False,False,False,True,False,
15-172812,False,False,True,False,False,False,
15-172814,False,False,True,False,False,False,
15-172815,False,False,True,False,False,False,
15-172818,False,False,False,False,False,False,
15-172820,False,False,False,False,True,False,
15-172822,False,False,True,False,False,False,
15-172826,False,False,True,False,False,False,
15-172829,False,False,False,False,False,False,
15-172833,True,False,False,False,False,False,
15-172835,False,False,False,False,True,False,
15-172840,False,False,False,False,True,False,
15-172846,False,False,True,False,False,False,
15-172851,False,False,False,False,False,False,Groupement d'Intérêt Public
15-172852,False,False,True,False,False,False,
15-172853,False,False,False,False,False,False,
15-172855,False,False,False,False,True,False,
15-172873,False,False,True,False,False,False,
15-172877,False,False,False,False,True,False,
15-172881,False,False,False,False,False,False,Office Public de l'Habitat
15-172885,False,False,True,False,False,False,
15-172886,False,False,True,False,False,False,
15-172897,False,False,True,False,False,False,
15-172898,False,False,True,False,False,False,
15-172899,False,False,True,False,False,False,
15-172902,False,False,True,False,False,False,
15-172904,False,False,False,False,False,False,
15-172906,False,False,False,False,False,False,EPCI
15-172911,False,False,True,False,False,False,
15-172912,False,False,True,False,False,False,
15-172914,True,False,False,False,False,False,
15-155050,False,False,False,False,True,False,
15-172919,False,False,False,False,False,False,Société d'économie mixte
15-153664,False,False,True,False,False,False,
15-172924,False,False,True,False,False,False,
15-172925,False,False,False,False,True,False,
15-172932,True,False,False,False,False,False,
15-172938,False,False,True,False,False,False,
15-172944,False,False,False,False,True,False,
15-172948,False,False,True,False,False,False,
15-172951,False,False,True,False,False,False,
15-172956,False,False,False,False,True,False,
15-172957,False,False,False,False,False,False,
15-172958,False,False,False,False,False,False,établissement public industriel et commercial
15-172959,True,False,False,False,False,False,
15-172961,False,False,False,False,False,False,
15-172965,False,False,True,False,False,False,
15-172971,False,False,False,False,True,False,
15-172972,False,False,False,False,True,False,
15-172987,False,False,False,False,True,False,
15-172989,False,False,True,False,False,False,
15-172990,False,False,True,False,False,False,
15-172992,False,False,False,True,False,False,
15-173002,False,False,False,False,False,False,
15-173004,False,False,False,False,False,False,
15-173005,False,False,True,False,False,False,
15-173013,False,False,False,False,False,False,
15-173014,False,False,True,False,False,False,
15-173020,False,False,True,False,False,False,
15-173021,False,False,True,False,False,False,
15-173029,False,False,False,False,False,False,EPCI
15-173035,False,False,False,False,True,False,
15-173039,False,False,True,False,False,False,
15-173040,False,False,False,False,False,False,
15-173041,False,False,False,False,True,False,
15-173050,False,False,True,False,False,False,
15-173052,True,False,False,False,False,False,
15-173055,False,False,False,False,True,False,
15-173057,False,False,True,False,False,False,
15-173059,False,False,False,False,False,False,
15-173062,False,False,True,False,False,False,
15-173066,False,False,True,False,False,False,
15-173067,False,False,True,False,False,False,
15-140036,True,False,False,False,False,False,
15-154124,False,False,False,False,True,False,
15-173076,False,False,True,False,False,False,
15-113336,False,False,False,False,False,False,Etablissement public de santé
15-173079,True,False,False,False,False,False,
15-173084,False,False,True,False,False,False,
15-173086,False,False,False,False,False,False,ville
15-173088,False,False,False,False,False,False,
15-173095,False,False,True,False,False,False,
15-173100,False,False,False,False,True,False,
15-139050,False,False,False,False,True,False,
15-173107,False,False,True,False,False,False,
15-173125,False,False,True,False,False,False,
15-173128,False,False,False,False,False,False,
15-173129,False,False,False,False,False,False,
15-173130,False,False,False,False,True,False,
15-173135,True,False,False,False,False,False,
15-173136,False,False,False,False,False,False,
15-173145,False,False,True,False,False,False,
15-173148,False,False,True,False,False,False,
15-173163,False,False,True,False,False,False,
15-140034,False,False,False,False,False,False,Etablissement public autonome
15-173174,False,False,False,False,False,False,
15-173175,False,False,False,False,True,False,
15-173178,False,False,False,True,False,False,
15-173182,False,False,True,False,False,False,
15-173183,False,False,True,False,False,False,
15-173185,False,False,False,False,False,False,collectivité
15-173194,False,False,True,False,False,False,
15-173201,False,False,True,False,False,False,
15-173203,False,False,True,False,False,False,
15-173207,True,False,False,False,False,False,
15-173209,False,False,True,False,False,False,
15-173221,False,False,True,False,False,False,
15-173222,False,False,True,False,False,False,
15-173224,False,False,False,False,False,False,Collectivité Territoriale
15-173227,False,False,True,False,False,False,
15-173228,False,False,False,False,False,False,
15-173229,False,False,True,False,False,False,
15-173233,False,False,True,False,False,False,
15-173235,False,False,True,False,False,False,
15-173240,False,False,False,False,False,False,
15-173242,False,False,True,False,False,False,
15-173246,False,False,True,False,False,False,
15-173249,False,False,True,False,False,False,
15-173255,False,False,False,False,True,False,
15-173257,False,False,False,False,True,False,
15-173263,False,False,True,False,False,False,
