BOAMP_AVIS_NUM,D_12_01_Conditionrelativemarche_Cautionnement,D_12_02_Conditionrelativemarche_Financement,D_12_03_Conditionrelativemarche_Formejuridique,D_12_04_Conditionrelativemarche_Participationelectroniqueoui,D_12_05_Conditionrelativemarche_Participationelectroniquenon,D_12_06_Conditionrelativemarche_Autresconditionspartoui,D_12_07_Conditionrelativemarche_Autresconditionspartnon,D_12_08_Conditionrelativemarche_Unitemonetaireeur,D_12_09_Conditionrelativemarche_Francaisseul,D_12_10_Conditionrelativemarche_Langues,D_12_10_01_Conditionrelativemarche_Langues_Langue,D_12_10_02_Conditionrelativemarche_Langues_Autres
13-26408,,,,False,False,,False,True,True,CF_NIV_SUIV,,
14-157229,,"financement : auto-financement Les sommes dues au(x) titulaire(s) et au(x) sous-traitant(s) de premier rang éventuel(s) du marché, seront payées dans un délai global de 30 jours à compter de la date de réception des factures ou des demandes de paiement équivalentes.",aucune forme de groupement n'est imposé,False,False,,False,True,False,CF_NIV_SUIV,,
14-178318,"Sauf renoncement du titulaire porté à l'acte d'engagement, une avance est prévue dans les cas et selon les modalités stipulées ci-après. Son montant n'est ni révisable, ni actualisable.Elle est versée pour chaque bon de commande d'un montant supérieur à 50 000,00 euro hors taxes et d'un délai d'exécution supérieur à deux mois. Le délai de paiement de cette avance court à partir de la notification de l'acte qui emporte commencement de l'exécution du bon de commande si un tel acte est prévu ou, à défaut, à partir de la date de notification du bon de commande.Le montant de l'avance est déterminé par application de l'article 87 du Code des marchés publics. Elle est égale à 10,00% du montant initial toutes taxes comprises du bon de commande, si le délai d'exécution du marché n'excède pas 12 mois. Si cette durée est supérieure à 12 mois, l'avance est égale à 10,00% d'une somme égale à 12 fois le montant du bon de commande divisé par la durée prévue pour l'exécution de celui-ci exprimée en mois.L'avance est remboursée dans les conditions prévues à l'article 88 du Code des marchés publics. Le remboursement s'impute sur les sommes dues au titulaire quand le montant des prestations exécutées par le titulaire atteint 65,00% du montant TTC du marché.L'avance ne pourra être versée qu'après constitution de la garantie à première demande à hauteur du montant de l'avance prévue à l'article 89 du Code des marchés publics. Cette garantie à première demande pourra être remplacée par une caution personnelle et solidaire.L'avance sera remboursée en une seule fois lorsque le seuil de 65,00% est atteint.","Le règlement des dépenses se fera par mandat administratif suivi d'un virement bancaire. Le financement provient des ressources propres de la collectivité. Le délai global de paiement ne pourra excéder 30 jours. Le défaut de paiement à l'expiration du délai ouvre droit à intérêts moratoires, le taux applicable est égal au taux d'intérêt de la principale facilité de refinancement appliquée par la Banque centrale européenne à son opération de refinancement principale la plus récente effectuée avant le premier jour du calendrier du semestre de l'année civile au cours duquel les intérêts moratoires ont commencé à courir, majoré de huit points. Le retard de paiement donne lieu, de plein droit et sans autre formalité, au versement d'une indemnité forfaitaire pour frais de recouvrement, dont le montant est fixé à 40 euros.","A l'issue de l'attribution du marché, le pouvoir adjudicateur imposera la forme d'un groupement solidaire conformément à l'article 51 VII du Code des marchés publics.Le pouvoir adjudicateur interdit aux candidats de présenter leurs offres en agissant à la fois en qualité de candidats individuels et de membres d'un ou plusieurs groupements, conformément à l'article 51-VI-1 du Code des marchés publics.Le pouvoir adjudicateur interdit aux candidats de présenter leurs offres en agissant à la fois en qualité de membres de plusieurs groupements, conformément à l'article 51-VI-2 du Code des marchés publics.",False,False,,True,False,False,CF_NIV_SUIV,['FR'],
14-43279,,"Fonds propres, Subventions, Emprunts - Paiement à 30 jours fin de mois par virement.",Nature du groupement attributaire : groupement conjoint avec mandataire solidaire ou groupement solidaire,False,False,Marché non soumis à l'AMP,False,True,False,CF_NIV_SUIV,['FR'],
14-47159,,Le financement est assuré par des crédits délégués à l'APIJ. Le délai global de paiement est fixé à 30 jours. Les prestations ouvrent droit à des acomptes. Une avance sera versée au titulaire dans les confitions prévues par l'article 87 du code des marchés publics.,"En application de l'article 51-vii, le pouvoir adjudicateur imposera la forme solidaire au groupement attributaire du marché.",False,False,,True,False,False,CF_NIV_SUIV,['FR'],
15-100085,,Les prestations sont financées sur fonds propres.Le délai de règlement des sommes dues est fixé à 60 jours à compter de la date d'émission de la facture.,,False,False,Le personnel d'encadrement du titulaire doit s'exprimer en langue française.Le respect des dispositions relatives aux établissements à accès réglementés et aux contrats sensibles au sens de l'igi no1300 approuvé par arrêté du 30 novembre 2011 est impératif.,False,False,False,CF_NIV_SUIV,['FR'],
15-102706,,financement sur le budget principal du CCAS et paiement par mandat administratif dans un délai de 30 jours à compter de la date de réception des factures,,False,False,,False,True,False,CF_NIV_SUIV,['FR'],
15-104501,,"Le financement est assuré par l'État, la Région Aquitaine, le Département de la Gironde et Bordeaux Métropole. Les prix sont fermes actualisables.Le délai global de paiement est de 30 jours.",Le marché sera conclu soit avec un prestataire unique soit avec des prestataires groupés solidaires.,False,False,,False,True,True,CF_NIV_SUIV,,
15-104713,,"prestations pour la Navigation Aérienne financéesprincipalement par des redevances perçues sur les usagers dans le cadre du Budget Annexe du Contrôle et de l'exploitation Aériens.1) Les modalités de paiementVirement avec mise en paiement sous 30 jours à compter de la date de réception de la facture par la personne publique ou de la date de fin d'exécution desprestations si celle-ci est postérieure. Le défaut de paiement dans les délais prévus par le Code des MarchésPublics fait courir de plein droit des intérêts moratoires.L'Indemnité forfaitaire pour frais de recouvrement est de 40 euros.2) Avance.Sauf renoncement du titulaire, versement d'une avance dans les conditions prévus à l'article 87 du code des marchés publics.","Aucune forme de groupement n'est imposée par l'entitéAdjudicatrice.En cas d'attribution du marché à un groupement conjoint, le mandataire est solidaire, pour l'exécution du marché, de chacun des membres du groupement pour ses obligations contractuelles.",False,False,,True,True,False,CF_NIV_SUIV,['FR'],
15-105853,"Attestations d'assurances adéquates garantissant les conséquences pécuniaires de la responsabilité civile que le titulaire pourrait encourir en cas de dommages de toute nature, matériels et immatériels, directs ou indirects, qui pourraient être causés aux personnels ou aux installations de l'ONERA.",Financement sur fonds propres de l'ONERA.Le délai de paiement des sommes dues est fixé à 45 jours à compter de la date d'émission de la facture.,,False,False,"L'article R3423-4 du décret no2008-1219 du 25 novembre 2008 dispose que pour la sauvegarde tant des secrets touchant la défense que des intérêts économiques de l'ONERA, toutes personnes employées par l'ONERA ou appelées à travailler pour lui, à quelque titre que ce soit, sont tenues d'observer la discrétion la plus absolue en ce qui concerne les délibérations, échanges de vues et travaux dont ils ont connaissance. Les centres de l'ONERA sont des établissements à régime d'accès règlementé.Sans avoir à en donner les motifs, l'ONERA peut à tout moment décider de refuser un agrément ou de le retirer avec l'obligation de remplacement et ce notamment dans le cadre d'une évolution imposée par la tutelle de l'ONERA (Ministère de la Défense - article 180, alinéa 6, du décret no2011-1104 du 14 septembre 2011 relatif à la passation et à l'exécution des marchés publics de défense ou de sécurité) impliquant les intérêts essentiels de sécurité de l'Etat.",False,False,False,CF_NIV_SUIV,['FR'],
